                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.36863,                0.31467,                0.99272,                0.97604,                0.98659,                0.99311,                0.97616,                 0.2234,                0.18218,                0.82575,                0.00208,                0.00208,                0.00208
                     82,                0.35977,                 0.3057,                0.98408,                0.98388,                  0.978,                0.99357,                 0.9749,                0.22025,                0.18158,                0.82634,               0.001981,               0.001981,               0.001981
                     83,                0.36604,                0.31989,                 1.0046,                0.98119,                 0.9838,                0.99359,                 0.9735,                0.21642,                0.16937,                0.82273,               0.001882,               0.001882,               0.001882
                     84,                0.34676,                0.29423,                0.97091,                0.98237,                  0.984,                0.99367,                0.97512,                 0.2175,                0.16473,                0.82481,               0.001783,               0.001783,               0.001783
                     85,                0.34366,                0.28996,                0.97497,                0.97892,                0.98619,                0.99391,                0.97572,                0.21376,                0.16497,                0.82513,               0.001684,               0.001684,               0.001684
                     86,                0.34616,                0.29403,                0.97019,                0.98225,                0.98426,                0.99393,                0.97659,                0.21476,                0.16333,                0.82563,               0.001585,               0.001585,               0.001585
                     87,                0.35351,                 0.3017,                 0.9778,                0.98124,                 0.9801,                0.99299,                0.97354,                0.21509,                0.16427,                0.82482,               0.001486,               0.001486,               0.001486
                     88,                0.32367,                 0.2743,                0.95921,                0.97204,                0.98896,                0.98753,                0.96991,                 0.2123,                0.16174,                0.82222,               0.001387,               0.001387,               0.001387
                     89,                0.33591,                0.29385,                0.96834,                0.98013,                0.98709,                0.99352,                0.97713,                0.21203,                 0.1552,                0.82149,               0.001288,               0.001288,               0.001288
                     90,                0.33573,                0.29254,                0.97005,                0.97004,                0.99397,                0.99318,                0.97796,                0.21104,                 0.1524,                0.81929,               0.001189,               0.001189,               0.001189
                     91,                0.33505,                0.27872,                0.95868,                0.96927,                0.99626,                0.99363,                0.97652,                 0.2114,                 0.1534,                0.81886,                0.00109,                0.00109,                0.00109
                     92,                 0.3356,                0.28022,                0.96335,                0.97091,                0.99007,                0.99346,                0.97807,                0.20878,                0.15129,                0.81593,               0.000991,               0.000991,               0.000991
                     93,                0.33272,                0.27738,                0.96698,                0.96419,                 0.9948,                0.99318,                0.97917,                0.20588,                0.15097,                0.81391,               0.000892,               0.000892,               0.000892
                     94,                0.33544,                0.26102,                0.96334,                0.97908,                 0.9858,                0.99333,                0.98003,                0.20268,                0.15224,                0.81236,               0.000793,               0.000793,               0.000793
                     95,                0.32264,                0.27283,                0.96755,                0.97876,                0.98414,                0.99335,                0.97782,                0.20198,                0.15137,                0.81294,               0.000694,               0.000694,               0.000694
                     96,                0.31191,                0.25962,                0.95249,                0.96837,                0.99285,                0.99358,                0.97888,                0.20059,                0.14911,                0.81365,               0.000595,               0.000595,               0.000595
                     97,                0.32121,                0.26305,                0.96476,                0.96819,                0.99083,                0.99335,                0.97896,                0.19854,                0.14645,                0.81305,               0.000496,               0.000496,               0.000496
                     98,                0.30547,                0.26149,                0.94665,                0.98137,                0.97931,                0.99325,                0.97873,                0.19743,                0.14746,                0.81192,               0.000397,               0.000397,               0.000397
                     99,                0.33135,                0.28001,                 0.9657,                0.97873,                0.98204,                0.99325,                0.97963,                0.19536,                0.14556,                0.81093,               0.000298,               0.000298,               0.000298
